Run,Algorithm,Execution_Time_ms
1,Bubble Sort,1910.624
2,Bubble Sort,1922.265
3,Bubble Sort,1867.094
4,Bubble Sort,1908.67
5,Bubble Sort,1880.33
6,Bubble Sort,1891.591
7,Bubble Sort,1944.747
8,Bubble Sort,1937.2
9,Bubble Sort,1903.105
10,Bubble Sort,1928.07
11,Bubble Sort,1905.952
12,Bubble Sort,1911.846
13,Bubble Sort,1917.9
14,Bubble Sort,1961.932
15,Bubble Sort,1929.027
16,Bubble Sort,1905.801
17,Bubble Sort,1913.855
18,Bubble Sort,1976.259
19,Bubble Sort,1914.681
20,Bubble Sort,1851.954
21,Bubble Sort,1859.008
22,Bubble Sort,1872.964
23,Bubble Sort,1949.369
24,Bubble Sort,1894.049
25,Bubble Sort,1879.522
26,Bubble Sort,1898.209
27,Bubble Sort,1910.39
28,Bubble Sort,1932.72
29,Bubble Sort,1925.742
30,Bubble Sort,1904.462
31,Bubble Sort,2002.545
32,Bubble Sort,1910.121
33,Bubble Sort,1895.519
34,Bubble Sort,1938.746
35,Bubble Sort,1917.022
36,Bubble Sort,1924.73
37,Bubble Sort,1923.039
38,Bubble Sort,1906.724
39,Bubble Sort,1902.959
40,Bubble Sort,1885.37
41,Bubble Sort,1909.454
42,Bubble Sort,1890.374
43,Bubble Sort,1891.6
44,Bubble Sort,1951.102
45,Bubble Sort,1906.634
46,Bubble Sort,1930.457
47,Bubble Sort,1991.365
48,Bubble Sort,1883.58
49,Bubble Sort,1942.855
50,Bubble Sort,1901.707
51,Bubble Sort,1887.289
52,Bubble Sort,1898.499
53,Bubble Sort,1942.924
54,Bubble Sort,1939.474
55,Bubble Sort,1933.595
56,Bubble Sort,1923.47
57,Bubble Sort,1878.528
58,Bubble Sort,1894.329
59,Bubble Sort,1909.406
60,Bubble Sort,1947.816
61,Bubble Sort,1896.822
62,Bubble Sort,1928.349
63,Bubble Sort,1879.125
64,Bubble Sort,1945.846
65,Bubble Sort,1921.772
66,Bubble Sort,1864.72
67,Bubble Sort,1884.711
68,Bubble Sort,1942.312
69,Bubble Sort,1941.349
70,Bubble Sort,1953.68
71,Bubble Sort,1953.079
72,Bubble Sort,1909.272
73,Bubble Sort,1888.06
74,Bubble Sort,1922.064
75,Bubble Sort,1907.03
76,Bubble Sort,1924.996
77,Bubble Sort,1885.334
78,Bubble Sort,1904.464
79,Bubble Sort,1895.39
80,Bubble Sort,1947.279
81,Bubble Sort,2009.701
82,Bubble Sort,1924.911
83,Bubble Sort,1902.163
84,Bubble Sort,1898.982
85,Bubble Sort,1913.027
86,Bubble Sort,1922.698
87,Bubble Sort,1900.726
88,Bubble Sort,1894.091
89,Bubble Sort,1912.784
90,Bubble Sort,1932.206
91,Bubble Sort,1944.926
92,Bubble Sort,1944.886
93,Bubble Sort,1955.845
94,Bubble Sort,1911.287
95,Bubble Sort,1912.974
96,Bubble Sort,1919.563
97,Bubble Sort,1980.897
98,Bubble Sort,1916.552
99,Bubble Sort,1901.278
100,Bubble Sort,1910.749
101,Bubble Sort,1911.749
